,web-scraper-order,web-scraper-start-url,Books,Books-href,Author,Abstract,category,views
11,1637238996-877,"https://www.bookrix.com/books;true-crime,id:51.html",The Spoilers(fiscle part-III),https://www.bookrix.com/_ebook-rex-beach-the-spoilers-fiscle-part-iii/,Rex Beach,"Glenister Gazed Out Over The Harbor,  Agleam With The Lights Of

Anchored Ships,  Then Up At The Crenelated Mountains,  Black Against

The Sky. He Drank The Cool Air Burdened With Its Taints Of The

Sea,  While The Blood Of His Boyhood Leaped Within Him.



""Oh,  It's Fine--Fine,"" He Murmured,  ""And This Is My Country--My

Country,  After All,  Dex. It's In My Veins,  This Hunger For The

North. I Grow. I Expand.""



""Careful You Don't Bust,"" Warned Dextry. ""I've Seen Men Get Plumb

Drunk On Mountain Air. Don't Expand Too Strong In One Spot."" He

Went Back Abruptly To His Pipe,  Its Villanous Fumes Promptly

Averting Any Danger Of The Air's Too Tonic Quality.",True Crime,2
12,1637239319-904,"https://www.bookrix.com/books;true-crime,id:51.html",Mit Keksen und einem guten Apfelstrudel,https://www.bookrix.com/_ebook-emily-fisher-mit-keksen-und-einem-guten-apfelstrudel/,EMILY FISHER,Dramatische Crime Storry die man gelesen haben muss Beruht auf einer wahren Geschichte. Jeder der dieses Buch auch nur durchblättert wird sich nie mehr davon losreißen können.,True Crime,361
13,1637239446-914,"https://www.bookrix.com/books;true-crime,id:51.html",The Interceptors: Murder In Gold,https://www.bookrix.com/_ebook-james-east-dribbleondo-the-interceptors-murder-in-gold/,James East (Dribbleondo),"The First in a series of crime-action- solving series of books. The Interceptors are a trio of action detectives that solve the most deadly of crimes.



Based on the Faux Interceptors Title Sequence BBC's Top Gear Made.",True Crime,688
14,1637239568-921,"https://www.bookrix.com/books;true-crime,id:51.html",Aunt Elois And the Death of a President,https://www.bookrix.com/_ebook-elizabeth-o-039-mara-anderson-aunt-elois-and-the-death-of-a-president/,Elizabeth O'Mara Anderson,The real events of the Death of John F. Kennedy as collectd from an actual eyewitness account.,True Crime,1295
15,1637239026-880,"https://www.bookrix.com/books;true-crime,id:51.html","Gladys, The Reaper (fiscle part-XII) Part 2",https://www.bookrix.com/_ebook-anne-beale-beale-gladys-the-reaper-fiscle-part-xii-part-2/,Anne Beale Beale,"Miss Hall And Freda Were Sitting alone In the   Morning-Room That Has

Before Been Alluded to. The   Former Was Much More Nervous Than Freda Had

Ever Seen Her. First She Took Up Her Work, Then Her Book, Then She Began

To Copy Some Music. Freda Had Great Pleasure In watching her, And In

Remarking that The   Calm Serena Could Be Excited by The   Expected

Appearance Of   A Lover Of   Twenty Years Ago; Also In observing that She

Had A Most Becoming colour On Her Cheeks, And Looked quite Young; Also

That She Was Dressed even With More Care Than Usual, And Her Hair Was

Smooth As Brush Could Make It. Freda Longed to Laugh At Her, But She

Forbore; She Felt That There Was Something very Touching in this Meeting

Between Two People Who Had Parted under Such Uncomfortable Circumstances

So Many Years Ago.",True Crime,3
16,1637239631-925,"https://www.bookrix.com/books;true-crime,id:51.html",Never Seen Again,https://www.bookrix.com/_ebook-rhiannon-s-and-hayley-h-never-seen-again/,Rhiannon S. And Hayley H.,The First Book In The Never Seen Again Series,True Crime,1778
17,1637239654-927,"https://www.bookrix.com/books;true-crime,id:51.html",My Name Was Armagan,https://www.bookrix.com/_ebook-yoshie-akira-my-name-was-armagan/,Yoshie Akira,This is the story of a little girl named Armagan who lived in Afghanistan.  Then the soldiers came...,True Crime,2383
18,1637239018-879,"https://www.bookrix.com/books;true-crime,id:51.html",THE GRAFTERS,https://www.bookrix.com/_ebook-francis-lynde-the-grafters-1/,FRANCIS  LYNDE,"Francis Lynde Stetson (April 23, 1846–December 5, 1920) was an American lawyer. He was president of the New York City Bar Association from 1910 to 1911.",True Crime,3
19,1637239717-933,"https://www.bookrix.com/books;true-crime,id:51.html",Ride Or Die,https://www.bookrix.com/_ebook-jp-ride-or-die/,JP,"Nicki and Dahmiere are bestfriends for life. She moved back into their neighborhood after being away for 2 years and when she comes back...shit hits the roof. More people get sprung and more feelings get hurt, but the two bestfriends go through blood, tears and sweat to end like the way they did.",True Crime,5355
20,1637239398-910,"https://www.bookrix.com/books;true-crime,id:51.html",Don't be a Dick,https://www.bookrix.com/_ebook-gabby-follin-don-039-t-be-a-dick/,Gabby  Follin,"Hi. I’m Mark. Mark Phanelley. I’m a 16 year old kid who’s pretty happy with life. I’m turning 17 at the end of this year, the last day of school. I’m a sophomore in Greene High School. I live with my parents, I don’t have any siblings. It’s just me and them. I don’t mind, I hear all the time how everyone fights with theirs, so maybe it’s a plus? Tomorrow is the first day of sophomore year, I’m pretty excited. Mostly because I’ll finally get to see my best friend Alex after about a month. We had hung out a bunch at the beginning of summer but it slowly got to where we didn’t even text. It was probably just something to do with his family.. He doesn’t live in a great environment. His mother doesn’t care for him, when she does it’s not helpful, while his father beats her and him every night when he gets home from the bar.
But that’s not really the case I suppose. He’s my friend, I’m his. I’m there for him when he needs it, I try not to complain much. He’s basically a loser in our school though, that’s why it’s important for me to be there for him. But that changes ya know? It changed.
And it costed something.
Many things actually.
But oh well…. He just had enough I guess.
I get it though, I forgive you…



 
~I'll point out that this book might be quite triggering to those whose experienced this, so please, be careful and read at your own risk~
Also, wanted to point out that my book is obviously still in progress. I've just decided to post it each chapter I do because I deleted the last one due to some of it being gone and me not remembering what I wrote. So I deleted the whole thing and rewrote. :) 
 
Thank you!",True Crime,519
21,1637239730-935,"https://www.bookrix.com/books;true-crime,id:51.html",Natural Born Serial Killers,https://www.bookrix.com/_ebook-jimmy-digital-natural-born-serial-killers/,Jimmy Digital,"There are killers and there are serial killers and then there are ""Natural Born Serial Killers"" the three covered here are the worst of the worst.

Ricardo Leyva ""Richard"" Muñoz Ramírez(February 29, 1960 – June 7, 2013) was an American serial killer, rapist, and burglar. His highly publicized home invasion crime spree terrorized the residents of the greater Los Angeles area, and later the residents of the San Francisco area. 

Leonard Lake (October 29, 1945 – June 6, 1985) was an American serial killer. He often used the alias Leonard Hill. The crimes he committed with Charles Ng included kidnapping and killing its believed  up to 25 individuals.

Jeffrey Lionel Dahmer (May 21, 1960 – November 28, 1994), also known as the Milwaukee Cannibal, was an American serial killer and sex offender	,who commited the rape murder and dismeberment of 17 men and  boys between 1978-1991 with many of his murders involving necrophilia, cannibalism and the permanent preservation of body parts—typically all or part of the skeletal structure.",True Crime,13787
22,1637238895-869,"https://www.bookrix.com/books;true-crime,id:51.html",An Artist in Crime,https://www.bookrix.com/_ebook-rodrigues-ottolengui-an-artist-in-crime/,Rodrigues  Ottolengui,"Rodrigues Ottolengui (March 15, 1861 - July 11, 1937) was an American writer and dentist of Sephardic descent. Born in Charleston, South Carolina, he moved to New York, where he would spend most of his adult life, in 1877. One of three children, Ottolengui was a son of Daniel Ottolengui and Helen Rosalie Rodrigues Ottolengui; he had a sister, Helen, and a brother, Lee.",True Crime,2
23,1637239469-916,"https://www.bookrix.com/books;true-crime,id:51.html",The Ghosts of Westgate,https://www.bookrix.com/_ebook-stanley-mungai-the-ghosts-of-westgate/,Stanley Mungai,"On 21st September 2013, West gate Mall in Nairobi Kenya was under Terrorist Attack for four days. This act caught the security apparatus in the country by surprise. Unprepared and totally overwhelmed, many lives are lost and scores injured. But the Masterminds behind the Act prepared for years just to Accomplish this act and the participants unknown are the ghosts of Westgate.",True Crime,845
24,1637239270-900,"https://www.bookrix.com/books;true-crime,id:51.html",Soul Of a Killer,https://www.bookrix.com/_ebook-esneyder-pe-a-soul-of-a-killer/,Esneyder  Peña,"Mr. Tomanson is accused for two unspeakable crimes, but is he the real killer?
Medical Exams are the answer..",True Crime,332
25,1637239214-897,"https://www.bookrix.com/books;true-crime,id:51.html",Room 219,https://www.bookrix.com/_ebook-jess-wygle-room-219/,Jess Wygle,"A man finds himself in the wrong place at the right time.  A short tale of tragedy and redemption.



Due to controversial portrayals and the use of profanity, not recommended for anyone younger than 18 years old.",True Crime,53
26,1637239089-887,"https://www.bookrix.com/books;true-crime,id:51.html",In Search Of The Castaways,https://www.bookrix.com/_ebook-jules-verne-in-search-of-the-castaways-1/,Jules Verne,"On The   26th Of   July, 1864, A Magnificent Yacht Was Steaming

Along The   North Channel At Full Speed, With A Strong

Breeze Blowing From The   N. E.",True Crime,3
27,1637239582-922,"https://www.bookrix.com/books;true-crime,id:51.html",how to be a drug lord,https://www.bookrix.com/_ebook-the-monster-how-to-be-a-drug-lord/,the monster,how to be a true drug loard story of jason king !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,True Crime,1301
28,1637239665-929,"https://www.bookrix.com/books;true-crime,id:51.html",Bay Area True Crime Chronicles,https://www.bookrix.com/_ebook-jimmy-digital-bay-area-true-crime-chronicles/,Jimmy Digital,"True tales of robbery,drug dealing murder and rap in the Bay Area

featuring

:The Romper Room Gang

:Mac Dre

:Fat Tone

:Thizz Entertainment.....",True Crime,2980
29,1637239307-903,"https://www.bookrix.com/books;true-crime,id:51.html",war,https://www.bookrix.com/_ebook-creepy-pasta-war/,"creepy  pasta, is  here, whats  next, my  dear","End of German Third Reich
United States And Russia Become Global superpowers
Founding on the United Nations
On July 7, 1937, a skirmish near the Marco Polo Bridge near Beijing, China, led to open warfare between Japan and China. The outclassed Chinese military traded space for time, steadily withdrawing deeper into the large country to extend Japanese supply lines and hoping to eventually gain assistance from other nations. During the course of the war over 1 million Japanese troops would be engaged in an unsuccessful attempt to subdue China.",True Crime,350
30,1637239148-891,"https://www.bookrix.com/books;true-crime,id:51.html","Gladys, The Reaper (fiscle part-XII) Part 1",https://www.bookrix.com/_ebook-anne-beale-gladys-the-reaper-fiscle-part-xii-part-1/,Anne  Beale,"It Is An Evening In June, And The   Skies That Have Been Weeping Of   Late,

Owing To Some Calamity Best Known To Themselves, Have Suddenly Dried

Their Eyes, And Called Up A Smile To Enliven Their Gloomy Countenances.

The Farmers, Who Have Been Shaking Their Heads At Sight Of   The   Unmown

Grass, And Predicting A Bad Hay-Harvest, Are Beginning To Brighten Up

With The   Weather, And To Consult Upon The   Propriety Of   Mowing To-Morrow.

The Barometer Is Gently Tapped By Many A Sturdy Hand, And The   Result Is

Favourable; So That There Are Good Prospects Of   A Few Weeks' Sunshine To

Atone For The   Late Clouds.







Sunshine: How Gracious It Is Just Now! Down Yonder In The   West, That

Ancient Of   Days, The   Sun Throws Around Him His Evening Glory, And Right

Royally He Does It. The   Rain-Covered Meadows Glow Beneath It, Like So

Many Lakes--The River Looks Up Rejoicing, And The   Distant Mountains Are

Wrapped In Garments Dyed In The   Old King's Own Regal Colours. The   Woods

Look As Smooth And Glossy As The   Braided Locks Of   Maidens Prepared For

Conquests; And The   Roads And Paths That Wind Here And There Amongst The

Trees, Are As Gay As Little Streamlets In The   Sun's Reflected Light.",True Crime,5
31,1637239243-898,"https://www.bookrix.com/books;true-crime,id:51.html",Ghost Doctors,https://www.bookrix.com/_ebook-dr-ramamoorthy-selvakumar-ghost-doctors/,Dr.Ramamoorthy  Selvakumar,"Today medical workers role play
Inside the hospitals
What about doctors doing
Who is the Ghost Doctors

read more inside the book about the today medical hospital world",True Crime,176
32,1637239341-906,"https://www.bookrix.com/books;true-crime,id:51.html",Centrale thermique,https://www.bookrix.com/_ebook-3-collective-with-gg02-echo-and-gg02-echo-radio-centrale-thermique/,*3 - Collective with GG02 Echo and GG02 Echo Radio,"*3 special publication at the occasion of 15th ONU Summit on Climate Change, Copenhag (DK), December 2009. Selection of poems and short stories on a common theme 'Planet Earth'.",True Crime,405
33,1637239255-899,"https://www.bookrix.com/books;true-crime,id:51.html",My Sight,https://www.bookrix.com/_ebook-randi-kayla-williams-my-sight/,Randi Kayla Williams,To murderers you may steal our hearts but not our souls but u think you steal it all from blind kids but they can see throw u!we all can see,True Crime,299
34,1637239710-932,"https://www.bookrix.com/books;true-crime,id:51.html",Bad Seed,https://www.bookrix.com/_ebook-jimmy-digital-bad-seed/,"Jimmy  Digital, True  Crime Files","Bad Seed the Qawmane Wilson story a story of

greed,lust for stardom and a plot to kill his own mother to ""Make It Rain"".

And two more True Crime Stories...",True Crime,4150
35,1637239389-909,"https://www.bookrix.com/books;true-crime,id:51.html",Five Paintings,https://www.bookrix.com/_ebook-meet-shah-five-paintings/,Meet Shah,This book is about a thief who want to be a rich. So who steals try's to steal Five Painting from the museum but he fails.,True Crime,508
36,1637238884-868,"https://www.bookrix.com/books;true-crime,id:51.html",Vices Are Not Crimes,https://www.bookrix.com/_ebook-lysander-spooner-vices-are-not-crimes-1/,Lysander Spooner,"Lysander Spooner (January 19, 1808 – May 14, 1887) was an American individualist anarchist, political philosopher, Deist, Unitarian abolitionist, supporter of the labor movement, legal theorist, and entrepreneur of the nineteenth century. He is also known for competing with the U.S. Post Office with his American Letter Mail Company, which was forced out of business by the United States federal government.",True Crime,2
37,1637239723-934,"https://www.bookrix.com/books;true-crime,id:51.html",Hood Love 2,https://www.bookrix.com/_ebook-jp-hood-love-2/,JP,Second part to Hood Love. Shaquinna and Tyshon go through more drama and more cheating until they decide they belong together...but will it be too late?,True Crime,6742
38,1637239169-893,"https://www.bookrix.com/books;true-crime,id:51.html",Whose Body?,https://www.bookrix.com/_ebook-dorothy-l-sayers-whose-body-3/,Dorothy L. Sayers,"Dorothy L. Sayers  was a renowned English crime writer, poet, playwright, essayist, translator and Christian humanist. She was also a student of classical and modern languages.",True Crime,6
39,1637238867-867,"https://www.bookrix.com/books;true-crime,id:51.html",King's Cutters And Smugglers 1700-1855 (Fiscle Part-I),https://www.bookrix.com/_ebook-e-keble-chatterton-king-039-s-cutters-and-smugglers-1700-1855-fiscle-part-i/,E. Keble  Chatterton,"I Have In The Following Pages Endeavoured To Resist The Temptation To

Weave A Web Of Pleasant But Unreliable Fiction Round Actual

Occurrences. That Which Is Here Set Forth Has Been Derived From Facts,

And In Almost Every Case From Manuscript Records. It Aims At Telling

The Story Of An Eventful And Exciting Period According To Historical

And Not Imaginative Occurrence. There Are Extant Many Novels And Short

Stories Which Have For Their Heroes The Old-Time Smugglers. But The

Present Volume Represents An Effort To Look At These Exploits As They

Were And Not As A Novelist Likes To Think They Might Have Occurred.",True Crime,2
40,1637239425-912,"https://www.bookrix.com/books;true-crime,id:51.html",Big Gurl,https://www.bookrix.com/_ebook-xicano-sol-big-gurl/,Xicano Sol,"One day the shoes are going to be on the other foot and while they’re all considered tired and played out, it will be my turn to shine.



The ""Joteria Chronicles"" are a series of vignettes reflecting real life sessions during the time I spent as a Counselor for LGBT Youth.",True Crime,576
41,1637238917-871,"https://www.bookrix.com/books;true-crime,id:51.html",Armour & Weapons,https://www.bookrix.com/_ebook-charles-john-ffoulkes-armour-amp-weapons-12/,Charles John Ffoulkes,"Charles John ffoulkes was a British historian, and curator of the Royal Armouries at London. He wrote extensively on medieval arms and armour.",True Crime,2
42,1637239516-918,"https://www.bookrix.com/books;true-crime,id:51.html",Something meant for bad turned out for good,https://www.bookrix.com/_ebook-maleya-williams-something-meant-for-bad-turned-out-for-good/,maleya williams,This book is  about a girl and she is telling a story about her life .How she was rapped when she was 12 years old and now she has moved on.She has found the love of her life.And now they might be pregnant and if she is she would be 3 weeks pregnant and if she  is it would be  a girl.Is she pregnant or not?,True Crime,944
43,1637239740-936,"https://www.bookrix.com/books;true-crime,id:51.html",Hood Love,https://www.bookrix.com/_ebook-jp-hood-love/,JP,"Shaquinna is a very smart woman who lives in the hood and she's a lawyer. She meets a guy named Tyshon and they hit it off. Soon, theyre dating and talking to eachother on a unprofessional level. Soon, she finds out she's pregnant with his baby and lies will be revealed, cheating, and drama begins. Will their relationship last?",True Crime,21675
44,1637238954-873,"https://www.bookrix.com/books;true-crime,id:51.html","Noto, An Unexplored corner Of   Japan (fiscle part-IX)",https://www.bookrix.com/_ebook-percival-lowell-noto-an-unexplored-corner-of-japan-fiscle-part-ix-1/,Percival  Lowell,"The Fancy Took Me To Go To Noto.







It Seemed a Strange Fancy To My Friends.







Yet I Make No Apology For It; For It Was A Case Of   Love At First Sight.







Scanning, One Evening, In tokyo, The   Map Of   Japan, In a Vague, Itinerary

Way, With The   Look One First Gives To The   Crowd Of   Faces In a Ballroom,

My Eye Was Caught By The   Pose Of   A Province That Stood Out In graphic

Mystery From The   Western Coast.  It Made A Striking figure There,

With Its Deep-Bosomed bays And Its Bold Headlands.  Its Name, It

Appeared, Was Noto; And The   Name Too Pleased me.  I Liked its Vowel

Color; I Liked its Consonant Form, The   Liquid N And The   Decisive T. 

Whimsically, If You Please, It Suggested both Womanliness And Will. 

The More I Looked the   More I Longed, Until The   Desire Carried me Not

Simply Off My Feet, But On To Them.",True Crime,2
45,1637239548-920,"https://www.bookrix.com/books;true-crime,id:51.html",Another Day Another Year,https://www.bookrix.com/_ebook-hayley-h-and-rhiannon-s-another-day-another-year/,Hayley H and Rhiannon S,"It Has been a year since my sister had gone missing by the lake across the road. I haven""t been their ever since that day off October 23,2010",True Crime,1065
46,1637238907-870,"https://www.bookrix.com/books;true-crime,id:51.html",Ali Pacha,https://www.bookrix.com/_ebook-alexandre-dumas-pere-ali-pacha-1/,Alexandre Dumas Pere,"Alexandre Dumas (French: [a.lɛk.sɑ̃dʁ dy.ma], born Dumas Davy de la Pailleterie, [dy.ma da.vi də la pa.jə.tʁi]; 24 July 1802 – 5 December 1870),[1] also known as Alexandre Dumas, père, was a French writer. His works have been translated into nearly 100 languages, and he is one of the most widely read French authors. Many of his historical novels of high adventure,",True Crime,2
47,1637239070-885,"https://www.bookrix.com/books;true-crime,id:51.html",Translated From the Original Greek,https://www.bookrix.com/_ebook-various-translated-from-the-original-greek/,Various .,"Various, or Various Production, is an English dubstep/electronic music duo formed in 2002. The group blends samples, acoustic and electronic instrumentation, and singing from a revolving cast of vocalists. Its members, Adam and Ian, purposefully give very little information about the group or themselves, and tend to do little in the way of self-promotion.[1] Nevertheless, the group began winning critical acclaim with its single releases in 2005 and 2006, with singers Rachel Thomas Davies and Nicola Kearey.[2] Their full-length for XL, The World is Gone, arrived in July 2006.[3][4][5][6][7] They have released a large number of vinyl EPs and 7"" records, as well as digital exclusives for Rough Trade, iTunes, and Boomkat.[8] They have released remixes of a large variety of artists (sometimes uncredited) such as Thom Yorke, Adele, Virus Syndicate, Dave Cloud, Cat Power, Emma Pollock and Ian Brown and participated with one track on the Vexille Movie Soundtrack.",True Crime,3
48,1637239188-895,"https://www.bookrix.com/books;true-crime,id:51.html",True Stories of Crime From the District Attorney's Office,https://www.bookrix.com/_ebook-arthur-train-true-stories-of-crime-from-the-district-attorney-039-s-office/,Arthur Train,"Arthur Cheney Train (6 September 1875 – 22 December 1945), also called Arthur Chesney Train, was an American lawyer and legal thriller writer, particularly known for his novels of courtroom intrigue and the creation of the fictional lawyer Mr Ephraim Tutt.",True Crime,14
49,1637239377-908,"https://www.bookrix.com/books;true-crime,id:51.html",The Cry of Flowers,https://www.bookrix.com/_ebook-miss-me-the-cry-of-flowers/,miss me,"The Book is related to the violence against women. Women are the flowers which make the Garden Earth beautiful, the pain they earn because of some flies has been cover in this book. Respect them and make the Earth a beautiful with smiling flowers",True Crime,488
50,1637239599-924,"https://www.bookrix.com/books;true-crime,id:51.html",Criminal Life,https://www.bookrix.com/_ebook-john-lewis-criminal-life/,John Lewis,"I grow up in a wrecked neighbourhood. There were drug dealers everywhere, killing every day, and sirens every minute. My parents were drug dealers as well and I got caught up in the drug dealing business at an early age. I were there way of transporting drugs. I never knew that is was wrong until that day I was behind jail gates. At that moment I reflected on everything that I did to the hour now.
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
*TRUE STORY*
Want to know be
continue reading criminal life!",True Crime,1541
51,1637239195-896,"https://www.bookrix.com/books;true-crime,id:51.html",Death Befits Me,https://www.bookrix.com/_ebook-black-ghost-death-befits-me/,Black Ghost,"Ricardo Brown, son of a convicted murderer is lost in the footsteps of his late father. At age nineteen, Ricardo is a mid-ranking member in the infamous Insane Murda Mafia street gang. With a rotten attitude and a mind that lacks a conscious, Ricardo’s violent, abusive, and manipulative. His only concern is himself, and he’ll do what ever it takes to get what he wants. As he continues to slither through life, he’s unaware that his immoral ways are shortening his days on the earth, making it a matter of time before he’s called to grave.









About





Death befits me is a story where the antagonist is the protagonist. I’ve designed this so that you, the reader, will grow more and more dislike for the main character as the story goes on. There will be scenes and themes that are highly suggestible and inappropriate. One in particular will more than likely stand out than others, but I purposely created it like that for the sole reason to lower the moral of the main character. So don’t look at me oddly, or report anything if you feel a type of way. You have been warned.  With that being said, enjoy the story for what it is and not what it could be.",True Crime,17
52,1637239698-931,"https://www.bookrix.com/books;true-crime,id:51.html",Trying to Make it,https://www.bookrix.com/_ebook-jp-trying-to-make-it/,JP,this story is about a girl who depended on her boyfriend alot actully growing up after he abuses her. She becaomes a stripper by day and a student at night. She then meets a guy that every girlwants but shes lucky enough to get but will that make her happy or will she still struggle?,True Crime,4063
53,1637239047-882,"https://www.bookrix.com/books;true-crime,id:51.html",THIS IS NOT A STORY,https://www.bookrix.com/_ebook-denis-diderot-this-is-not-a-story-1/,DENIS DIDEROT,"Denis Diderot (French: [dəni didʁo]; 5 October 1713 – 31 July 1784) was a French philosopher, art critic and writer. He was a prominent figure during the Enlightenment and is best known for serving as co-founder, chief editor and contributor to the Encyclopédie along with Jean le Rond d'Alembert.



Diderot also contributed to literature, notably with Jacques le fataliste et son maître (Jacques the Fatalist and his Master), which was influenced by Laurence Sterne's novel Tristam Shandy in challenging conventions regarding novels and their structure and content,[1] while also examining philosophical ideas about free will. Diderot is also known as the author of the dialogue Le Neveu de Rameau (Rameau's Nephew), upon which many articles and sermons about consumer desire have been based.",True Crime,3
